Index | Value | Parent | Sibling
1 | program | 0 | 0
2 | compoundStmt | 1 | 0
3 | begin | 2 | 0
4 | stmtList | 2 | 3
5 | end | 2 | 4
6 | statement | 4 | 0
7 | ; | 4 | 6
8 | stmt1 | 4 | 7
9 | forStmt | 6 | 0
10 | for | 9 | 0
11 | forConditions | 9 | 10
12 | compoundStmt | 9 | 11
13 | ( | 11 | 0
14 | int | 11 | 13
15 | assignmentStmt | 11 | 14
16 | ; | 11 | 15
17 | condition | 11 | 16
18 | ; | 11 | 17
19 | assignmentStmt | 11 | 18
20 | ) | 11 | 19
21 | identifier | 15 | 0
22 | = | 15 | 21
23 | expression | 15 | 22
24 | term | 23 | 0
25 | signAndNextExpr | 23 | 24
26 | integerConst | 24 | 0
27 | epsilon | 25 | 0
28 | identifier | 17 | 0
29 | relation | 17 | 28
30 | integerConst | 17 | 29
31 | < | 29 | 0
32 | identifier | 19 | 0
33 | = | 19 | 32
34 | expression | 19 | 33
35 | term | 34 | 0
36 | signAndNextExpr | 34 | 35
37 | identifier | 35 | 0
38 | sign | 36 | 0
39 | expression | 36 | 38
40 | + | 38 | 0
41 | term | 39 | 0
42 | signAndNextExpr | 39 | 41
43 | integerConst | 41 | 0
44 | epsilon | 42 | 0
45 | begin | 12 | 0
46 | stmtList | 12 | 45
47 | end | 12 | 46
48 | statement | 46 | 0
49 | ; | 46 | 48
50 | stmt1 | 46 | 49
51 | ioStmt | 48 | 0
52 | write | 51 | 0
53 | ( | 51 | 52
54 | identifier | 51 | 53
55 | ) | 51 | 54
56 | epsilon | 50 | 0
57 | epsilon | 8 | 0
